epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,318.437,2.202,3.62288,1.56605,0.00448,0.36984,0.05713,0.02281,2.28867,4.05328,1.43116,0.0002375,0.0002375,0.0002375
2,687.46,2.19495,2.26338,1.47326,0.77884,0.03648,0.07421,0.03363,2.34758,4.0351,1.59979,0.000482674,0.000482674,0.000482674
3,1132.26,2.15615,1.87712,1.47553,0.77171,0.00966,0.10728,0.04498,2.38062,4.10444,1.72322,0.000722897,0.000722897,0.000722897
4,1574.59,2.15613,1.8756,1.51816,0.76303,0.01288,0.04038,0.01472,2.57944,4.26311,1.75595,0.000958171,0.000958171,0.000958171
5,1951,2.18422,1.87125,1.51334,0.77003,0.01931,0.02668,0.00846,2.47836,4.40258,1.63915,0.00118849,0.00118849,0.00118849
6,2265.74,2.15701,1.84163,1.4887,0.76902,0.03541,0.01307,0.0037,2.56417,5.1143,1.64201,0.00118812,0.00118812,0.00118812
7,2591.04,2.15871,1.82203,1.50727,0.75661,0.02361,0.01465,0.0047,2.5663,5.06074,1.7001,0.00117575,0.00117575,0.00117575
8,2956.94,2.16173,1.78299,1.4928,0.76944,0.02468,0.01002,0.00342,2.55212,5.7008,1.64736,0.00116337,0.00116337,0.00116337
9,3286.88,2.11316,1.70905,1.45915,0.76896,0.01609,0.02362,0.00871,2.45025,6.43658,1.58843,0.001151,0.001151,0.001151
10,3632.07,2.12189,1.68864,1.47184,0.0649,0.31539,0.07753,0.03149,2.38745,6.4476,1.54094,0.00113863,0.00113863,0.00113863
11,3999.68,2.11984,1.69214,1.47078,0.036,0.34556,0.05252,0.0201,2.40004,6.04614,1.54177,0.00112625,0.00112625,0.00112625
12,4332.44,2.07166,1.63146,1.44067,0.27919,0.04936,0.10644,0.05096,2.43078,6.27891,1.5493,0.00111388,0.00111388,0.00111388
13,4688.77,2.08025,1.64011,1.44451,0.27544,0.03326,0.07556,0.02029,2.40393,5.93149,1.55236,0.0011015,0.0011015,0.0011015
14,5130.2,2.05253,1.58327,1.42534,0.2657,0.0279,0.06001,0.02597,2.37662,6.56132,1.54271,0.00108913,0.00108913,0.00108913
15,5585.1,2.06956,1.61879,1.45081,0.16191,0.26193,0.1062,0.04578,2.36954,6.3102,1.51763,0.00107675,0.00107675,0.00107675
16,6020.25,2.0494,1.55038,1.41697,0.02129,0.03648,0.00854,0.00294,2.39811,6.22483,1.6026,0.00106437,0.00106437,0.00106437
17,6427.69,2.02745,1.58907,1.41786,0.02675,0.03863,0.01189,0.00476,2.38077,6.11617,1.51748,0.001052,0.001052,0.001052
18,6767.85,2.0216,1.54703,1.40972,0.014,0.02039,0.00597,0.00246,2.33522,7.16585,1.48769,0.00103962,0.00103962,0.00103962
19,7133.76,2.03213,1.54765,1.41182,0.27703,0.03112,0.09664,0.03705,2.38749,6.52201,1.51529,0.00102725,0.00102725,0.00102725
20,7550.46,2.03956,1.52521,1.40172,0.01839,0.02253,0.00711,0.00275,2.42519,6.44091,1.55354,0.00101488,0.00101488,0.00101488
21,7918.87,2.01228,1.55518,1.4229,0.03253,0.04506,0.01613,0.00626,2.36598,6.59662,1.54536,0.0010025,0.0010025,0.0010025
22,8416.73,2.01521,1.50362,1.39686,0.27688,0.0397,0.13788,0.02948,2.55015,6.33607,1.69037,0.000990125,0.000990125,0.000990125
23,8793.52,1.98242,1.51132,1.3989,0.2869,0.03326,0.13915,0.04291,2.34677,6.46763,1.5165,0.00097775,0.00097775,0.00097775
24,9098.59,2.00841,1.51543,1.41231,0.01337,0.02682,0.00554,0.00214,2.32143,6.82378,1.47565,0.000965375,0.000965375,0.000965375
25,9415.74,2.02773,1.52391,1.38858,0.03093,0.05667,0.01531,0.0059,2.36945,6.97579,1.50431,0.000953,0.000953,0.000953
26,9754.66,1.99647,1.49863,1.42823,0.2693,0.03392,0.13633,0.08037,2.34847,6.61682,1.46533,0.000940625,0.000940625,0.000940625
27,10179.1,1.97344,1.45982,1.40388,0.03094,0.03219,0.00961,0.00388,2.38056,6.39596,1.57547,0.00092825,0.00092825,0.00092825
28,10642.7,2.0006,1.45485,1.38239,0.0171,0.0397,0.00788,0.00331,2.37651,6.98196,1.51248,0.000915875,0.000915875,0.000915875
29,11095.9,1.96694,1.46268,1.40443,0.27858,0.03112,0.13795,0.06736,2.33208,6.587,1.54324,0.0009035,0.0009035,0.0009035
